USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
956770,99999,19920716,53.0,41.6,1026.7,1024.9,,5.8,8.9,,65.7,49.1,0.0
956770,99999,19920717,53.1,45.7,1017.9,1016.1,,7.2,9.9,,64.4,38.8,0.0
956770,99999,19920718,52.0,47.3,1014.7,1012.9,,9.0,18.1,,59.2,43.7,0.43
956770,99999,19920719,42.0,40.0,1019.1,1017.3,,4.4,19.0,,53.8,35.4,0.12
956770,99999,19920720,46.8,42.9,1025.1,1023.3,,4.8,8.9,,54.7,34.7,0.0
956770,99999,19920721,49.9,43.1,1026.1,1024.3,,5.9,8.9,,55.8,39.4,0.0
956770,99999,19920722,51.1,49.0,1030.0,1028.2,,4.4,8.0,,58.3,43.5,0.0
956770,99999,19920723,52.2,51.7,1031.0,1029.1,,4.8,8.0,,58.5,49.5,0.0
956770,99999,19920724,52.2,48.9,1028.2,1026.3,,7.3,12.0,,59.4,45.7,0.0
956770,99999,19920725,50.5,43.4,1031.7,1029.8,,7.7,14.0,,59.9,45.0,0.0
956770,99999,19920726,52.6,44.7,1027.8,1026.0,,8.2,13.0,,61.9,43.9,0.0
956770,99999,19920727,55.0,44.8,1020.3,1018.5,,10.9,14.0,,64.2,45.5,0.0
956770,99999,19920728,51.1,45.9,1019.1,1017.3,,6.4,11.1,,61.3,43.5,0.0
956770,99999,19920729,58.0,46.8,1015.5,1013.7,,10.0,15.0,,71.2,50.9,0.04
956770,99999,19920730,49.8,44.2,1023.8,1022.0,,5.7,15.9,,59.2,40.6,0.0
956770,99999,19920731,49.3,42.7,1026.8,1025.0,,5.4,8.9,,57.4,38.8,0.0
956770,99999,19920801,44.8,39.2,1023.3,1021.5,,2.6,5.1,,55.2,34.7,0.0
956770,99999,19920802,51.3,44.7,1019.8,1018.0,,3.3,7.0,,59.5,33.6,0.0
956770,99999,19920803,56.1,39.8,1019.0,1017.2,,11.8,20.0,,64.4,47.5,0.0
956770,99999,19920804,55.9,41.8,1012.2,1010.4,,12.1,18.1,,61.9,48.7,0.02
956770,99999,19920805,53.6,48.9,1010.5,1008.7,,4.4,8.9,,65.8,44.2,0.0
956770,99999,19920806,52.4,45.0,1009.8,1008.0,,7.7,14.0,,61.2,43.9,0.0
956770,99999,19920807,53.1,47.6,1004.1,1002.3,,12.4,18.1,,62.1,42.8,0.91
956770,99999,19920808,44.1,39.6,1018.6,1016.8,,6.7,18.1,,56.7,33.8,0.0
956770,99999,19920809,51.9,43.0,1015.3,1013.5,,10.2,19.0,,57.0,33.4,0.12
956770,99999,19920810,52.9,48.9,1008.9,1007.1,,12.1,20.0,,58.6,46.0,0.16
956770,99999,19920811,53.6,47.5,1005.8,1003.9,,14.0,22.9,,61.3,45.5,0.43
