USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
411500,99999,19900101,66.1,53.0,1015.9,,6.8,7.2,11.1,,70.7,61.2,0.0
411500,99999,19900102,66.0,52.8,1017.0,,7.5,9.2,12.0,,71.4,59.7,0.0
411500,99999,19900103,64.5,55.5,1016.6,,7.7,10.5,30.9,,70.5,58.6,0.0
411500,99999,19900104,68.6,58.8,,,7.1,9.4,15.0,,76.1,65.1,99.99
411500,99999,19900105,65.9,58.3,1019.4,,6.4,8.1,11.1,,70.7,62.2,0.0
411500,99999,19900106,64.9,54.4,1023.1,,6.4,6.9,11.1,,70.9,60.8,0.0
411500,99999,19900107,64.2,55.1,,,6.8,5.9,8.9,,70.2,58.6,0.0
411500,99999,19900108,66.8,55.2,,,6.1,9.6,13.0,,75.2,62.6,0.0
411500,99999,19900109,65.8,58.1,1019.7,,7.0,11.8,18.1,,68.0,62.6,99.99
411500,99999,19900110,63.5,46.3,1021.1,,7.0,17.1,20.0,,68.7,60.8,0.0
411500,99999,19900111,60.1,40.5,1024.9,,7.7,18.5,22.0,,63.9,58.6,0.0
411500,99999,19900112,58.7,43.9,,,7.3,19.2,24.1,,68.0,55.4,0.0
411500,99999,19900113,57.3,50.1,1022.6,,7.2,15.2,20.0,,80.6,51.8,0.0
411500,99999,19900114,54.0,48.3,1019.4,,3.4,8.3,17.1,,58.3,49.3,99.99
411500,99999,19900115,58.0,53.8,,,5.0,7.3,14.0,,62.6,53.8,99.99
411500,99999,19900116,57.5,50.7,,,7.5,13.8,18.1,,60.8,55.4,0.0
411500,99999,19900117,55.7,47.7,,,7.2,12.3,17.1,,61.0,51.8,0.0
411500,99999,19900118,56.4,45.2,,,6.4,9.4,14.0,,60.8,53.4,0.0
411500,99999,19900119,55.8,43.7,1023.9,,7.3,12.4,21.0,,62.6,51.8,0.0
411500,99999,19900120,56.0,45.1,1026.5,,6.5,12.3,18.1,,61.3,51.8,0.0
411500,99999,19900121,56.4,48.2,1022.8,,6.8,6.4,12.0,,62.6,51.8,0.0
411500,99999,19900122,58.6,48.4,1019.8,,6.5,6.1,11.1,,64.9,49.3,0.0
411500,99999,19900123,60.0,50.8,1018.1,,6.8,5.6,12.0,,66.6,55.2,0.0
411500,99999,19900124,61.6,54.5,,,6.2,3.1,6.0,,68.4,53.6,0.0
411500,99999,19900125,61.3,48.2,1022.7,,7.2,15.2,20.0,,66.9,57.2,0.0
411500,99999,19900126,58.1,43.3,1024.7,,8.0,17.1,21.0,,63.7,55.4,0.0
411500,99999,19900127,59.9,49.4,1021.4,,7.9,7.6,13.0,,73.4,54.5,0.0
411500,99999,19900128,57.6,51.7,1019.0,,7.4,9.1,19.0,,62.2,53.2,0.0
411500,99999,19900129,55.7,47.3,1021.6,,7.1,17.7,19.0,,59.7,53.2,0.0
411500,99999,19900130,56.5,45.7,1024.7,,8.1,14.8,18.1,,62.6,51.8,0.0
411500,99999,19900131,55.9,45.5,,,6.9,10.8,17.1,,61.0,51.8,0.0
411500,99999,19900201,58.4,50.6,1019.8,,6.9,5.9,13.0,,62.6,51.4,0.0
411500,99999,19900202,64.0,57.4,1013.8,,6.9,9.0,16.9,,68.0,59.9,0.0
411500,99999,19900203,65.0,59.0,1015.3,,6.6,6.3,11.1,,71.6,59.0,0.0
411500,99999,19900204,65.4,60.9,,,6.5,3.8,8.9,,70.3,62.2,0.0
411500,99999,19900205,63.3,58.7,,,4.3,13.5,19.0,,66.6,60.8,99.99
411500,99999,19900206,60.6,50.0,1017.4,,7.4,15.9,21.0,,62.6,58.6,99.99
411500,99999,19900207,61.3,48.6,1020.5,,7.5,9.6,15.0,,66.7,57.2,0.0
411500,99999,19900208,62.1,54.7,1020.4,,6.4,7.2,11.1,,68.7,56.5,0.0
411500,99999,19900209,64.2,57.1,1016.1,,5.7,8.0,17.1,,69.8,56.1,0.0
411500,99999,19900210,64.3,55.3,1011.9,,6.4,13.2,21.0,,70.9,60.8,99.99
411500,99999,19900211,61.9,46.8,1019.0,,6.9,12.0,15.9,,66.4,59.0,0.0
411500,99999,19900212,60.8,43.9,1021.2,,7.1,11.2,14.0,,64.4,58.3,0.0
411500,99999,19900213,61.6,49.1,1020.0,,8.0,6.1,11.1,,66.7,57.9,0.0
411500,99999,19900214,63.7,53.3,1016.8,,7.4,6.4,13.0,,68.7,54.7,0.0
411500,99999,19900215,68.1,52.9,,,5.3,11.4,19.0,,79.2,62.6,0.0
411500,99999,19900216,64.3,47.1,1016.9,,1.7,10.6,14.0,,69.1,59.0,0.0
411500,99999,19900217,63.3,52.7,1016.3,,4.3,6.8,11.1,,68.9,57.9,0.0
411500,99999,19900218,65.2,55.3,1013.1,,6.3,6.6,13.0,,72.1,58.3,0.0
411500,99999,19900219,68.8,60.6,1010.8,,6.4,8.9,15.0,,77.7,64.2,0.0
411500,99999,19900220,65.4,51.9,1013.9,,6.1,16.0,19.0,,70.2,62.6,0.0
411500,99999,19900221,65.0,52.0,1014.5,,6.5,12.7,19.0,,68.0,62.6,0.0
411500,99999,19900222,64.5,56.0,1013.6,,6.5,9.2,14.0,,69.4,62.6,0.0
411500,99999,19900223,64.4,51.6,,,6.4,11.2,15.9,,70.3,61.7,0.0
411500,99999,19900224,63.8,46.8,,,6.4,10.5,13.0,,69.6,60.4,0.0
411500,99999,19900225,64.1,42.7,1015.1,,7.6,12.7,15.9,,69.8,60.8,0.0
411500,99999,19900226,63.8,45.3,1017.0,,7.6,16.6,21.0,,70.5,59.0,0.0
411500,99999,19900227,61.9,42.0,1018.5,,7.3,13.1,18.1,,68.9,57.2,0.0
411500,99999,19900228,61.4,46.6,1019.6,,7.1,6.5,8.9,,68.4,54.3,0.0
411500,99999,19900301,61.9,49.6,1020.4,,6.4,3.7,6.0,,69.1,52.9,0.0
411500,99999,19900302,65.7,49.8,,,5.4,9.0,19.0,,73.9,58.1,0.0
411500,99999,19900303,63.7,49.2,1018.2,,4.0,19.9,24.1,,68.5,60.8,0.0
411500,99999,19900304,64.4,54.4,1017.8,,4.9,13.6,19.0,,70.9,59.0,0.0
411500,99999,19900305,64.7,49.7,1017.0,,6.2,5.6,8.0,,75.9,55.4,0.0
411500,99999,19900306,66.9,56.5,1016.7,,6.5,8.5,17.1,,74.1,61.2,0.0
411500,99999,19900307,70.4,54.9,,,6.4,9.3,12.0,,78.8,64.0,0.0
411500,99999,19900308,71.3,54.6,,,6.3,6.8,11.1,,82.6,66.2,0.0
411500,99999,19900309,69.2,56.6,1021.1,,6.7,12.4,15.0,,75.2,66.2,0.0
411500,99999,19900310,69.0,54.8,,,6.4,12.8,19.0,,73.4,66.2,0.0
411500,99999,19900311,69.5,58.8,1015.6,,6.6,6.0,8.9,,79.5,63.7,0.0
411500,99999,19900312,71.8,65.3,1014.9,,6.4,8.4,14.0,,77.7,66.2,0.0
411500,99999,19900313,72.2,63.3,1014.6,,6.3,8.7,13.0,,79.3,66.2,0.0
411500,99999,19900314,71.0,58.9,,,6.0,13.2,20.0,,75.2,68.0,0.0
411500,99999,19900315,67.9,53.4,1018.7,,5.1,18.2,22.9,,71.6,64.4,0.0
411500,99999,19900316,68.2,51.8,1018.4,,7.6,15.0,19.0,,72.0,63.7,0.0
411500,99999,19900317,68.3,51.7,,,7.4,11.0,15.9,,72.1,64.4,0.0
411500,99999,19900318,67.9,60.5,1015.0,,6.1,7.0,11.1,,75.2,60.8,0.0
411500,99999,19900319,65.6,47.3,1016.9,,7.1,16.7,20.0,,70.7,62.6,99.99
411500,99999,19900320,64.7,48.9,1015.8,,7.5,10.9,15.0,,71.1,61.9,0.0
411500,99999,19900321,66.0,54.9,1016.0,,7.0,7.3,12.0,,72.9,60.8,0.0
411500,99999,19900322,67.3,54.4,1016.9,,7.2,6.2,9.9,,74.8,62.6,0.0
411500,99999,19900323,69.4,60.0,1017.0,,7.1,9.4,15.0,,75.2,63.5,0.0
411500,99999,19900324,73.1,64.0,1014.0,,6.8,6.3,9.9,,81.7,63.5,0.0
411500,99999,19900325,71.1,58.5,,,6.5,11.0,23.9,,75.4,69.1,0.0
411500,99999,19900326,70.1,49.2,1015.4,,7.5,12.7,17.1,,76.6,66.2,0.0
411500,99999,19900327,70.6,49.2,1015.6,,7.4,8.5,11.1,,77.0,64.4,0.0
411500,99999,19900328,70.0,53.0,,,6.9,10.5,15.9,,77.0,64.4,0.0
411500,99999,19900329,70.5,58.3,1015.4,,7.4,8.2,12.0,,80.6,62.1,0.0
411500,99999,19900330,72.3,59.1,1014.5,,7.0,5.7,8.0,,81.5,65.3,0.0
411500,99999,19900331,72.6,58.6,,,6.7,4.7,17.1,,78.4,66.2,99.99
411500,99999,19900401,70.6,62.7,,,6.7,11.9,15.0,,74.5,67.8,99.99
411500,99999,19900402,72.3,65.7,,,6.8,14.0,19.0,,78.8,68.0,0.0
411500,99999,19900403,74.1,67.1,,,6.4,8.7,15.0,,82.9,69.8,0.0
411500,99999,19900404,71.4,62.9,,,5.6,11.0,19.0,,80.6,68.0,99.99
411500,99999,19900405,72.4,53.7,1013.2,,7.4,13.8,18.1,,79.7,67.5,0.0
411500,99999,19900406,71.1,50.1,1013.4,,8.2,8.8,12.0,,75.2,66.2,0.0
411500,99999,19900407,71.4,55.6,1013.4,,7.1,7.0,13.0,,78.6,65.5,0.0
