USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
688160,99999,19900101,67.9,59.3,,,6.8,8.2,15.9,,76.6,61.7,0.0
688160,99999,19900102,65.9,55.6,,,8.1,18.9,28.0,44.1,75.2,62.6,0.01
688160,99999,19900103,67.5,58.8,,,8.5,15.8,24.1,41.0,75.2,55.4,0.0
688160,99999,19900104,70.6,61.8,1015.1,,9.8,17.2,25.1,36.9,79.9,63.5,0.0
688160,99999,19900105,72.2,63.4,,,7.7,12.1,22.9,,84.2,65.5,0.0
688160,99999,19900106,62.1,54.3,,,6.5,11.5,20.0,,84.2,57.2,0.14
688160,99999,19900107,64.4,46.7,,,9.2,14.7,25.1,,73.4,55.2,0.04
688160,99999,19900108,70.6,48.5,,,10.7,4.8,13.0,,89.6,46.0,0.0
688160,99999,19900109,66.8,56.5,,,9.6,7.4,20.0,25.1,89.4,58.3,0.0
688160,99999,19900110,69.0,54.8,,,8.8,13.4,28.0,40.0,76.6,62.6,0.0
688160,99999,19900111,72.3,55.3,,,9.1,7.7,15.0,,86.4,59.0,0.0
688160,99999,19900112,71.8,60.7,1012.0,,11.4,15.4,22.9,35.9,86.4,58.5,0.0
688160,99999,19900113,72.7,62.9,,,9.1,16.7,28.0,42.0,81.5,64.2,0.0
688160,99999,19900114,75.3,62.7,1010.1,,10.9,17.5,20.0,34.0,83.5,66.4,0.0
688160,99999,19900115,74.6,62.4,,,8.4,8.1,14.0,,84.9,65.7,0.0
688160,99999,19900116,70.4,63.1,1011.6,,6.3,6.4,15.9,,84.9,60.3,0.0
688160,99999,19900117,70.9,64.2,,,5.8,9.2,19.0,,84.9,60.8,0.0
688160,99999,19900118,69.6,60.5,,,6.7,8.1,19.0,,78.3,62.6,0.0
688160,99999,19900119,65.0,53.6,,,6.0,10.7,17.1,,76.5,60.8,0.1
688160,99999,19900120,64.2,50.4,,,9.7,9.0,20.0,,72.7,48.2,0.1
688160,99999,19900121,68.3,58.0,1014.9,,9.5,12.4,22.0,38.1,75.9,62.1,0.0
688160,99999,19900122,67.5,58.4,1012.9,,7.2,12.4,19.0,,78.8,60.8,0.0
688160,99999,19900123,68.2,56.2,1016.7,,10.2,15.4,26.0,42.0,76.6,61.7,0.0
688160,99999,19900124,70.2,57.9,,,7.8,19.5,29.9,45.1,74.1,64.4,0.0
688160,99999,19900125,70.9,57.3,,,8.2,7.2,38.9,,84.2,58.1,0.0
688160,99999,19900126,68.3,59.0,,,7.5,12.0,26.0,36.9,84.6,64.4,0.01
688160,99999,19900127,71.2,55.3,,,9.8,18.9,26.0,33.0,78.1,63.7,0.0
688160,99999,19900128,74.6,58.2,,,8.0,3.3,11.1,,91.8,59.5,0.0
688160,99999,19900129,67.2,60.0,,,6.9,9.9,21.0,,91.8,59.0,0.0
688160,99999,19900130,72.1,64.2,,,7.1,8.1,17.1,,81.1,59.4,0.0
688160,99999,19900131,69.5,64.4,,,6.4,10.3,24.1,36.9,81.1,67.5,0.13
688160,99999,19900201,77.6,62.5,1013.7,,8.7,5.6,21.0,,91.6,67.8,0.02
688160,99999,19900202,71.7,67.7,1013.0,,6.9,13.7,22.9,,91.6,66.7,0.0
