USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
862970,99999,19900101,80.4,71.3,1008.7,,12.4,6.8,9.9,,88.5,70.2,0.0
862970,99999,19900102,79.6,68.9,1010.0,,12.4,7.0,8.0,,89.6,69.1,0.0
862970,99999,19900103,79.0,64.2,1010.2,,12.4,6.6,8.0,,87.4,66.9,0.0
862970,99999,19900104,84.7,68.4,1011.5,,12.4,6.8,8.0,,89.6,67.6,0.0
862970,99999,19900105,84.7,69.5,1011.3,,12.4,5.0,9.9,,93.2,75.2,0.0
862970,99999,19900106,84.3,66.8,1011.4,,12.4,7.1,12.0,,92.5,67.6,0.0
862970,99999,19900107,85.4,70.1,1009.4,,12.4,6.8,9.9,,93.9,68.0,0.0
862970,99999,19900108,84.5,71.6,1008.7,,12.4,5.7,8.0,,95.0,74.1,0.0
862970,99999,19900109,83.8,70.4,1009.3,,12.4,9.2,13.0,,94.1,73.4,0.0
862970,99999,19900110,78.0,70.4,1008.7,,10.4,7.6,9.9,,91.4,71.6,0.0
862970,99999,19900111,78.0,69.0,1008.0,,12.4,5.4,9.9,,87.8,67.3,0.2
862970,99999,19900112,80.1,69.4,1006.9,,12.4,2.7,5.1,,93.2,68.7,0.0
862970,99999,19900113,86.6,73.0,1009.2,,12.4,6.0,12.0,,93.2,75.2,0.0
862970,99999,19900114,83.2,70.9,1012.8,,12.4,6.4,8.0,,93.2,71.6,0.12
862970,99999,19900115,81.8,72.6,1011.7,,12.4,3.8,5.1,,91.8,71.6,0.0
862970,99999,19900116,74.6,71.6,1007.5,,10.4,4.9,5.1,,76.3,69.8,0.2
862970,99999,19900117,75.8,70.1,1005.7,,8.9,9.1,15.0,,86.0,69.8,0.24
862970,99999,19900118,66.3,55.7,1016.7,,10.2,8.0,13.0,,91.4,60.8,1.38
862970,99999,19900119,66.8,56.3,1016.6,,12.4,4.8,9.9,,77.7,56.3,0.01
862970,99999,19900120,76.4,69.8,1013.2,,12.4,5.0,9.9,,82.4,64.4,0.08
862970,99999,19900121,75.8,72.3,1011.3,,7.5,4.2,5.1,,85.1,70.5,0.71
862970,99999,19900122,75.6,72.4,1010.0,,9.5,4.7,5.1,,82.8,71.2,1.46
862970,99999,19900123,75.7,71.6,1008.8,,11.0,6.6,13.0,,84.2,68.7,0.51
862970,99999,19900124,74.8,,,,8.2,7.5,9.9,,78.8,68.9,2.13
862970,99999,19900125,78.9,74.0,1009.1,,10.9,4.2,8.0,,88.2,71.6,1.85
862970,99999,19900126,82.9,75.6,1011.3,,12.4,3.2,5.1,,91.4,74.1,0.0
862970,99999,19900127,89.1,77.6,1012.1,,12.4,7.8,13.0,,96.8,75.2,0.0
862970,99999,19900128,85.8,75.8,1010.0,,12.4,6.3,13.0,,97.9,77.0,0.0
862970,99999,19900129,87.1,74.0,1008.9,,12.4,8.2,13.0,,96.1,77.7,0.0
862970,99999,19900130,87.6,71.9,1011.3,,12.4,9.6,15.0,,95.0,75.2,0.0
862970,99999,19900131,81.2,68.7,1015.8,,12.4,9.8,13.0,,87.8,74.5,0.0
862970,99999,19900201,83.4,71.6,1015.7,,12.4,5.5,9.9,,93.9,72.3,0.0
862970,99999,19900202,82.8,70.4,1014.8,,12.4,6.8,13.0,,93.9,71.2,0.0
862970,99999,19900203,80.7,72.3,1014.3,,13.7,5.6,12.0,,87.8,73.4,0.12
862970,99999,19900204,82.1,72.3,1014.9,,12.4,6.6,9.9,,93.9,70.7,0.0
862970,99999,19900205,82.3,72.1,1014.8,,12.4,5.5,9.9,,95.0,71.6,0.0
862970,99999,19900206,84.0,74.7,1015.0,,12.4,6.3,8.0,,95.0,73.4,0.43
862970,99999,19900207,84.0,72.5,1013.3,,12.4,4.5,8.0,,93.2,71.6,0.0
862970,99999,19900208,87.7,74.1,1011.9,,12.4,6.4,8.0,,95.0,72.5,0.0
862970,99999,19900209,82.1,73.1,1010.3,,12.4,7.1,9.9,,95.4,74.1,0.0
862970,99999,19900210,77.8,73.8,1009.6,,12.4,5.4,8.0,,94.1,71.6,0.0
862970,99999,19900211,80.9,75.6,1010.0,,11.2,7.8,9.9,,90.5,72.3,0.04
862970,99999,19900212,78.6,73.1,1010.4,,12.4,6.3,9.9,,86.0,73.4,0.12
862970,99999,19900213,77.4,71.9,1011.4,,10.4,6.8,9.9,,86.7,69.8,0.2
862970,99999,19900214,77.2,71.6,1011.4,,11.2,7.2,9.9,,84.2,69.8,0.16
862970,99999,19900215,77.1,69.2,1010.9,,11.4,8.9,9.9,,83.1,71.2,0.02
862970,99999,19900216,76.4,65.7,1011.7,,12.4,8.5,12.0,,82.8,69.1,0.0
862970,99999,19900217,75.7,64.4,1012.4,,12.4,6.8,9.9,,85.3,61.9,0.0
862970,99999,19900218,76.8,65.2,1014.7,,12.4,9.5,29.9,,87.8,61.7,0.0
862970,99999,19900219,80.4,64.7,1016.6,,12.4,6.6,8.0,,88.9,64.4,0.0
862970,99999,19900220,80.3,66.2,1014.6,,12.4,3.8,8.0,,91.4,66.2,0.0
862970,99999,19900221,79.7,70.1,1012.5,,9.6,5.2,9.9,,92.3,69.8,0.0
862970,99999,19900222,76.6,72.0,1012.5,,9.9,4.6,8.0,,93.2,68.7,1.61
