USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
037720,99999,19900101,39.6,37.2,,,4.1,6.6,11.1,,42.8,37.0,0.04
037720,99999,19900102,41.4,39.1,1017.5,,4.0,5.4,12.0,,50.0,32.7,0.05
037720,99999,19900103,40.2,37.0,,,5.7,7.8,11.1,,42.8,35.6,0.0
037720,99999,19900104,42.9,38.9,,,3.8,3.8,7.0,,47.3,38.8,0.0
037720,99999,19900105,45.6,43.5,,,4.2,5.8,11.1,,50.0,37.4,0.0
037720,99999,19900106,49.7,47.9,,,4.8,7.4,9.9,,53.6,46.4,0.14
037720,99999,19900107,43.5,42.0,,,4.0,4.8,9.9,,47.1,39.2,0.39
037720,99999,19900108,46.3,43.4,,,5.6,3.5,9.9,,50.7,39.2,0.04
037720,99999,19900109,47.1,45.6,,,4.2,4.6,8.9,,51.8,36.9,0.0
037720,99999,19900110,50.2,46.1,,,7.0,10.4,14.0,,51.8,48.2,0.0
037720,99999,19900111,50.4,44.2,1025.7,,8.9,10.5,14.0,,53.6,42.8,0.0
037720,99999,19900112,45.7,42.8,,,6.0,8.7,14.0,,48.2,42.3,0.0
037720,99999,19900113,39.4,36.4,,,6.0,3.2,6.0,,46.6,32.9,0.17
037720,99999,19900114,41.3,38.9,,,6.1,5.0,9.9,,50.0,32.0,0.02
037720,99999,19900115,51.2,47.4,,,7.2,10.8,13.0,22.9,55.8,41.9,0.02
037720,99999,19900116,52.4,46.6,,,8.2,13.1,19.0,28.9,54.0,50.0,0.0
037720,99999,19900117,45.4,36.2,,,7.1,10.2,16.9,39.0,50.4,35.6,0.04
037720,99999,19900118,40.3,34.9,,,6.6,6.0,11.1,,49.1,32.0,0.01
037720,99999,19900119,46.8,41.0,,,7.2,11.6,17.1,28.9,50.4,39.2,0.02
037720,99999,19900120,46.5,42.3,,,7.2,7.6,12.0,,52.7,37.4,0.0
037720,99999,19900121,52.4,49.0,,,6.5,12.0,17.1,28.0,54.1,51.1,0.0
037720,99999,19900122,51.4,47.1,,,6.2,10.7,19.0,28.0,54.5,48.2,0.13
037720,99999,19900123,49.1,44.4,,,6.0,15.7,27.0,42.9,53.6,42.8,0.3
037720,99999,19900124,41.7,32.9,,,8.7,11.2,18.1,29.9,46.6,37.4,0.03
037720,99999,19900125,47.3,41.0,988.0,,9.4,21.2,42.0,76.0,54.3,41.0,0.31
037720,99999,19900126,40.2,32.4,,,8.6,13.0,19.0,31.1,45.3,37.4,0.0
037720,99999,19900127,42.6,37.9,,,7.6,10.4,20.0,34.0,48.7,34.9,0.04
037720,99999,19900128,43.4,36.7,,,6.9,13.2,22.9,36.9,50.0,37.4,0.28
037720,99999,19900129,45.0,41.2,,,7.3,13.7,20.0,35.0,49.1,37.4,0.12
037720,99999,19900130,48.5,43.0,,,7.4,16.3,28.0,43.9,52.0,43.9,0.43
037720,99999,19900131,46.2,42.3,,,7.5,14.5,22.9,42.0,49.5,44.1,0.24
037720,99999,19900201,46.5,41.9,993.3,,6.9,15.7,28.0,48.0,50.0,42.8,0.2
037720,99999,19900202,45.3,36.6,,,6.6,13.9,21.0,39.0,50.7,41.0,0.29
037720,99999,19900203,42.3,38.2,,,6.6,9.6,17.1,25.1,46.4,36.5,0.96
037720,99999,19900204,48.9,42.0,,,7.3,14.7,21.0,35.9,52.9,39.4,0.0
037720,99999,19900205,51.1,43.0,,,6.7,10.5,14.0,,56.3,48.2,0.0
037720,99999,19900206,49.7,43.7,,,6.9,13.2,21.0,34.0,55.4,43.7,0.0
037720,99999,19900207,53.4,50.4,,,6.0,24.4,32.1,61.0,57.9,48.2,0.75
037720,99999,19900208,48.0,37.7,,,7.3,16.1,28.9,55.9,55.9,41.0,0.08
037720,99999,19900209,46.0,38.7,,,7.4,9.0,14.0,22.0,52.3,39.9,0.0
037720,99999,19900210,46.7,42.4,,,6.9,10.8,15.9,29.9,54.3,41.0,0.08
037720,99999,19900211,41.3,36.8,,,8.4,14.8,28.0,47.0,48.2,36.5,0.39
037720,99999,19900212,41.2,30.6,,,8.3,14.8,28.0,44.1,47.3,37.4,0.04
037720,99999,19900213,43.5,38.4,,,6.4,11.3,25.1,48.0,51.8,35.1,0.16
037720,99999,19900214,43.0,36.0,,,6.0,8.4,18.1,35.0,46.4,39.2,0.08
037720,99999,19900215,41.6,32.0,,,9.0,9.7,18.1,34.0,47.5,37.4,0.28
037720,99999,19900216,40.3,31.1,,,6.6,2.3,5.1,,48.7,32.0,0.0
037720,99999,19900217,48.5,44.6,,,6.0,10.6,21.0,32.1,56.7,37.2,0.01
037720,99999,19900218,46.3,41.2,,,7.1,7.6,13.0,22.9,54.1,41.0,0.04
037720,99999,19900219,51.3,47.3,,,7.1,15.2,25.1,39.0,55.4,40.6,0.01
037720,99999,19900220,55.3,51.6,,,5.9,15.0,20.0,33.0,59.0,52.3,0.01
037720,99999,19900221,50.5,41.2,,,7.4,12.2,25.1,41.0,53.8,44.6,0.06
037720,99999,19900222,51.1,42.8,,,6.4,7.0,15.0,22.9,60.3,42.8,0.0
037720,99999,19900223,52.5,46.2,1029.8,,4.2,5.1,9.9,,64.4,42.4,0.0
037720,99999,19900224,53.8,46.8,,,6.2,13.9,22.9,35.9,57.2,48.2,0.01
037720,99999,19900225,47.4,40.9,,,8.1,14.2,22.0,38.1,51.8,42.6,0.14
037720,99999,19900226,48.9,39.3,992.7,,7.1,22.1,29.9,58.1,53.6,42.8,0.08
037720,99999,19900227,44.4,30.5,,,7.5,18.1,22.9,42.0,47.3,41.0,0.02
037720,99999,19900228,45.3,37.8,,,7.7,15.6,28.0,54.0,54.1,37.4,0.12
037720,99999,19900301,39.6,30.1,,,8.1,13.8,18.1,34.0,47.1,33.8,0.04
037720,99999,19900302,39.6,28.2,,,7.9,9.2,15.0,25.1,48.0,31.1,0.0
037720,99999,19900303,41.9,31.9,,,8.0,7.6,13.0,,50.5,32.2,0.0
037720,99999,19900304,48.0,36.3,,,7.7,11.1,15.0,,52.0,43.3,0.0
037720,99999,19900305,47.5,39.2,,,7.4,11.4,15.9,26.0,51.8,43.3,0.0
037720,99999,19900306,49.4,41.8,,,7.9,12.8,17.1,31.1,54.1,46.0,0.0
037720,99999,19900307,49.5,43.3,,,7.6,9.0,12.0,,52.0,46.4,0.0
037720,99999,19900308,48.3,40.0,,,6.9,7.5,12.0,,59.0,40.1,0.0
037720,99999,19900309,48.7,34.4,,,8.5,11.9,20.0,32.1,52.9,44.6,0.0
037720,99999,19900310,53.4,46.6,,,7.1,12.3,19.0,33.0,60.1,43.7,0.0
037720,99999,19900311,52.1,45.8,,,6.7,9.2,13.0,,59.2,44.6,0.0
037720,99999,19900312,48.2,39.5,,,4.2,3.5,6.0,,58.3,37.4,0.0
037720,99999,19900313,46.2,42.5,,,4.1,7.4,12.0,,52.7,38.5,0.04
037720,99999,19900314,47.2,40.3,,,6.6,6.7,9.9,,58.1,36.5,0.0
037720,99999,19900315,48.7,40.2,,,7.3,7.9,14.0,22.9,57.6,41.0,0.0
037720,99999,19900316,51.0,40.7,,,5.1,5.8,12.0,,63.1,37.8,0.01
037720,99999,19900317,56.9,43.8,,,4.8,5.4,12.0,,71.6,44.4,0.0
037720,99999,19900318,58.0,44.9,,,5.4,6.9,15.9,,70.0,45.5,0.0
037720,99999,19900319,53.9,49.8,,,4.6,10.1,15.9,,56.3,44.6,0.04
037720,99999,19900320,49.3,45.1,,,3.5,5.4,9.9,,59.5,40.6,0.08
037720,99999,19900321,54.4,48.3,1015.6,,7.3,11.4,15.9,27.0,59.0,50.9,0.0
037720,99999,19900322,50.5,39.8,,,8.1,8.8,13.0,,56.5,41.0,0.01
037720,99999,19900323,47.7,38.5,,,9.1,10.6,15.0,28.0,55.0,38.3,0.0
037720,99999,19900324,48.8,36.8,,,8.0,13.3,17.1,29.9,55.4,37.4,0.04
037720,99999,19900325,42.8,33.0,,,7.4,9.3,20.0,31.1,50.9,37.0,0.08
037720,99999,19900326,42.6,30.2,,,7.1,5.6,12.0,,49.1,35.1,0.0
037720,99999,19900327,42.9,32.8,,,7.2,2.3,5.1,,50.7,33.8,0.0
037720,99999,19900328,45.3,37.5,,,5.9,4.6,9.9,,53.8,39.2,0.0
037720,99999,19900329,45.6,36.8,,,6.2,3.3,8.0,,56.3,32.7,0.01
037720,99999,19900330,53.5,43.8,,,5.5,4.5,11.1,,63.5,44.6,0.0
037720,99999,19900331,52.2,42.9,,,3.7,8.1,13.0,,64.9,42.8,0.0
037720,99999,19900401,54.1,40.6,,,3.7,5.4,14.0,26.0,70.2,39.2,0.0
037720,99999,19900402,52.5,45.7,,,5.2,7.0,15.0,26.0,63.0,42.8,0.12
037720,99999,19900403,41.3,32.9,1004.1,,8.6,8.9,15.9,28.9,49.3,33.4,0.13
037720,99999,19900404,38.5,26.2,,,7.2,4.3,11.1,,48.2,30.0,0.0
037720,99999,19900405,40.6,25.2,,,7.2,3.8,9.9,,51.8,29.5,0.0
037720,99999,19900406,42.4,27.0,1016.0,,7.2,9.1,17.1,28.0,52.3,31.1,0.01
037720,99999,19900407,45.7,31.7,,,6.6,12.7,15.9,28.9,55.0,38.5,0.0
037720,99999,19900408,44.0,27.4,,,7.4,11.1,17.1,25.1,52.2,37.2,0.0
037720,99999,19900409,43.6,26.0,,,9.2,5.5,8.9,,52.9,32.9,0.0
037720,99999,19900410,50.2,42.3,,,6.4,9.6,15.9,25.1,59.5,38.8,0.0
037720,99999,19900411,52.2,40.2,1012.8,,8.4,8.6,13.0,,60.3,41.0,0.0
037720,99999,19900412,53.7,44.6,1015.5,,6.5,11.6,15.0,27.0,61.0,48.2,0.0
037720,99999,19900413,44.7,40.8,1008.0,,7.5,7.6,14.0,35.9,50.0,37.4,0.43
037720,99999,19900414,43.5,37.0,1009.8,,9.2,11.0,22.0,35.9,52.2,32.7,0.01
037720,99999,19900415,46.6,34.5,,,7.4,12.8,18.1,31.1,55.4,38.3,0.02
037720,99999,19900416,44.8,36.0,,,8.8,9.6,16.9,31.1,54.0,35.6,0.08
037720,99999,19900417,43.1,33.8,,,7.6,10.4,17.1,28.9,54.0,33.8,0.0
037720,99999,19900418,44.3,34.5,1017.0,,13.5,9.1,13.0,,54.5,35.2,0.12
037720,99999,19900419,46.2,38.0,1009.7,,8.0,9.1,15.0,32.1,55.0,41.0,0.08
037720,99999,19900420,45.9,39.9,,,5.3,11.6,17.1,28.9,55.4,37.4,0.03
037720,99999,19900421,52.7,46.8,,,3.3,11.5,14.0,,62.6,46.4,0.04
037720,99999,19900422,51.8,47.4,,,3.1,11.3,14.0,,61.0,46.4,0.12
037720,99999,19900423,53.5,45.8,,,4.4,9.9,14.0,,63.1,45.3,0.0
037720,99999,19900424,53.9,39.6,,,4.8,8.7,14.0,,64.8,42.8,0.0
037720,99999,19900425,56.4,39.9,,,6.2,4.3,7.0,,68.5,41.4,0.0
037720,99999,19900426,51.9,46.2,,,5.8,8.0,12.0,,57.2,45.9,0.02
037720,99999,19900427,49.5,32.7,,,7.0,6.7,11.1,,57.4,40.5,0.01
037720,99999,19900428,52.2,38.8,,,6.6,5.0,11.1,,64.4,37.4,0.0
037720,99999,19900429,58.5,44.3,,,6.2,3.7,11.1,,73.4,43.3,0.0
037720,99999,19900430,62.5,48.7,,,5.5,8.3,15.9,,73.6,51.6,0.0
037720,99999,19900501,62.8,49.8,,,5.8,9.7,17.1,26.0,75.2,51.8,0.0
037720,99999,19900502,63.6,49.1,,,6.7,8.0,15.0,25.1,79.2,48.0,0.0
037720,99999,19900503,67.7,51.3,,,4.9,6.7,14.0,,82.6,53.6,0.0
037720,99999,19900504,66.0,46.5,,,6.1,6.4,12.0,,80.6,51.8,0.0
037720,99999,19900505,67.6,46.5,,,5.6,4.0,8.0,,81.0,51.6,0.0
037720,99999,19900506,67.0,50.4,,,4.6,4.2,8.9,,78.8,53.2,0.0
037720,99999,19900507,56.7,41.5,,,6.9,5.8,8.9,,64.4,47.8,0.0
037720,99999,19900508,56.8,42.7,,,7.9,4.2,8.9,,66.9,44.2,0.0
037720,99999,19900509,53.5,44.8,,,7.4,6.1,11.1,,60.4,48.2,0.01
037720,99999,19900510,50.8,44.4,,,5.6,4.7,13.0,,59.7,44.2,0.17
037720,99999,19900511,51.7,44.1,,,6.7,6.6,11.1,,57.2,43.3,0.02
037720,99999,19900512,53.5,44.2,,,5.8,6.2,8.9,,60.8,48.2,0.0
037720,99999,19900513,54.3,45.3,,,5.0,5.1,8.0,,63.0,45.9,0.0
