USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
417640,99999,19900214,63.9,54.8,1014.8,1009.7,,,,,70.0,55.4,0.0
417640,99999,19900215,68.0,43.5,1014.7,1009.7,,,,,77.9,55.4,0.0
417640,99999,19900216,70.8,46.3,,,,,,,79.5,60.1,0.0
417640,99999,19900217,64.5,,1009.6,1004.6,,,,,75.9,59.0,0.0
417640,99999,19900218,61.4,49.1,1013.2,1006.5,,,,,66.4,53.1,0.0
417640,99999,19900222,75.2,61.0,1009.4,1004.4,,,,,84.0,69.1,0.0
417640,99999,19900223,75.8,59.1,1005.5,1000.5,2.5,,,,86.7,64.0,0.0
417640,99999,19900224,70.9,60.4,1006.4,1001.4,,,,,75.0,67.3,0.0
417640,99999,19900225,71.2,53.1,1008.1,1003.1,,,,,80.1,63.5,0.0
417640,99999,19900226,68.5,57.5,1007.8,1002.8,,,,,75.9,64.9,0.0
417640,99999,19900227,68.8,51.2,1006.7,1001.6,,,,,78.1,62.1,0.0
417640,99999,19900302,70.3,45.9,1011.9,1006.9,,,,,80.4,62.4,0.0
417640,99999,19900304,71.0,53.3,1010.1,1005.1,6.2,,,,82.8,58.3,0.0
417640,99999,19900306,74.1,36.3,1015.5,1010.5,6.2,,,,86.4,60.3,0.0
417640,99999,19900307,72.4,40.6,1015.8,1010.8,,,,,80.1,64.0,0.0
417640,99999,19900308,75.1,58.4,1013.0,1008.0,,,,,88.9,61.5,0.0
417640,99999,19900309,68.9,53.5,1013.0,1008.2,,,,,82.0,56.5,0.0
417640,99999,19900310,79.7,59.9,1011.3,1006.4,,,,,94.5,65.3,0.0
417640,99999,19900311,77.6,46.4,1013.8,1008.8,,,,,85.1,66.7,0.0
417640,99999,19900312,72.9,45.2,1015.4,1010.5,2.5,,,,87.3,50.5,0.0
417640,99999,19900313,73.9,52.3,1013.1,1008.1,,,,,82.9,64.8,0.0
417640,99999,19900314,76.8,62.7,1011.4,1006.4,,,,,96.3,66.2,0.0
417640,99999,19900315,80.2,63.4,1011.4,1006.5,3.4,,,,94.3,66.6,0.0
417640,99999,19900316,78.1,61.3,1011.8,1006.8,7.5,,,,92.5,66.2,0.0
417640,99999,19900317,81.9,62.8,1011.8,1006.9,6.2,,,,96.8,67.6,0.0
417640,99999,19900319,79.5,50.1,1012.9,1005.7,,,,,93.9,64.9,0.0
417640,99999,19900321,80.4,64.9,1008.4,1003.5,1.3,,,,89.6,69.8,0.0
417640,99999,19900322,73.8,31.8,1009.2,1004.2,,,,,84.9,63.5,0.0
417640,99999,19900323,67.4,,1010.9,1005.9,,5.0,8.0,,83.1,58.3,0.0
417640,99999,19900324,73.2,36.0,1010.0,1005.1,,5.4,8.9,,88.9,57.2,0.0
417640,99999,19900325,75.3,55.7,1008.7,1003.7,,13.8,20.0,,89.6,60.8,0.0
417640,99999,19900326,76.7,50.4,1007.6,1002.6,4.0,11.1,15.0,,82.9,59.5,0.0
417640,99999,19900328,77.9,55.7,1008.1,1003.2,,11.0,20.0,,90.0,68.4,0.0
417640,99999,19900329,75.3,52.8,1011.5,1006.5,5.7,8.0,18.1,,84.2,56.5,0.0
417640,99999,19900330,76.6,52.2,1011.7,1006.7,4.3,10.4,25.1,,87.8,66.0,0.0
417640,99999,19900331,77.6,51.0,1011.8,1006.9,,6.8,14.0,,89.6,62.6,0.0
417640,99999,19900401,78.9,51.3,1012.4,1007.4,,3.8,7.0,,88.7,65.1,0.0
417640,99999,19900402,81.8,48.3,1010.0,1005.2,5.3,7.2,12.0,,93.6,71.1,0.0
417640,99999,19900405,79.6,68.6,1004.3,999.4,2.5,13.4,18.1,,96.8,67.8,0.0
417640,99999,19900406,82.5,64.0,1003.9,999.0,,11.4,14.0,,96.1,70.7,0.0
417640,99999,19900407,84.3,53.7,1008.2,1003.4,,9.8,20.0,,98.6,73.4,0.0
417640,99999,19900408,80.0,57.3,1009.4,1004.5,,9.6,14.0,,95.0,68.9,0.0
417640,99999,19900409,84.4,57.4,1006.2,1001.4,4.3,10.5,15.0,,99.3,67.1,0.0
417640,99999,19900411,89.6,51.5,1005.5,1000.7,6.2,12.8,15.0,,100.8,72.7,0.0
417640,99999,19900413,81.8,56.8,1006.6,1001.8,,7.0,9.9,,98.6,73.0,0.0
417640,99999,19900414,87.6,56.3,1005.7,1000.7,,6.8,9.9,,100.4,72.1,0.0
417640,99999,19900415,87.9,62.3,1003.9,999.1,5.3,16.7,20.0,,100.4,77.0,0.0
417640,99999,19900416,86.4,66.7,1005.6,1000.8,,13.0,14.0,,99.0,74.3,0.0
417640,99999,19900417,83.4,65.8,1006.4,1001.5,,11.7,15.0,,102.2,75.0,0.0
417640,99999,19900418,82.3,66.7,1004.8,1000.0,,15.0,20.0,,95.0,75.2,0.0
417640,99999,19900419,91.0,67.1,1002.7,998.0,,,,,104.0,77.0,0.0
417640,99999,19900420,86.4,67.8,1002.8,998.0,3.4,14.1,16.9,,103.1,74.1,0.0
417640,99999,19900421,83.2,70.4,1003.5,998.5,,14.0,18.1,,101.3,75.0,0.0
417640,99999,19900422,90.0,69.1,1006.6,1001.8,,8.4,15.0,,102.6,77.0,0.0
417640,99999,19900423,82.0,67.8,1009.2,1004.3,,11.0,12.0,,95.0,74.1,0.0
417640,99999,19900424,91.9,67.2,1006.4,1001.6,5.3,11.2,18.1,,107.6,74.8,0.0
417640,99999,19900425,86.1,68.0,1004.6,999.8,,14.3,20.0,,105.8,75.2,0.0
417640,99999,19900426,88.6,69.6,1003.6,998.8,,11.3,15.0,,106.2,73.9,0.0
417640,99999,19900427,88.9,71.3,1004.3,999.7,2.1,6.8,9.9,,102.2,75.7,0.0
417640,99999,19900428,91.3,58.0,1003.2,998.4,5.3,6.8,9.9,,109.9,75.9,0.0
417640,99999,19900429,87.2,69.6,1001.9,997.1,,12.4,20.0,,100.0,75.2,0.0
417640,99999,19900430,87.5,72.2,1003.2,998.3,,12.0,20.0,,96.1,77.0,0.0
417640,99999,19900501,92.4,68.2,1002.4,,,17.0,23.9,,104.9,78.1,0.0
417640,99999,19900502,94.1,69.9,1004.4,,,13.0,20.0,,103.1,84.6,0.0
417640,99999,19900503,86.0,72.5,1003.8,,,12.0,15.9,,97.5,77.0,0.0
