USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
162430,99999,19900110,50.7,45.8,,,6.2,0.8,5.1,,59.0,41.0,0.0
162430,99999,19900111,46.1,43.0,,,4.2,0.2,4.1,,59.0,39.2,0.0
162430,99999,19900112,46.6,42.9,,,1.7,0.8,5.1,,59.0,39.2,0.0
162430,99999,19900113,45.2,40.5,,,2.3,0.1,2.9,,57.2,37.4,0.0
162430,99999,19900114,44.4,38.4,,,3.8,0.7,5.1,,57.2,35.6,0.0
162430,99999,19900115,43.1,38.2,,,4.3,0.9,5.1,,55.4,35.6,0.0
162430,99999,19900116,40.8,35.1,,,3.7,0.7,6.0,,55.4,32.0,0.0
162430,99999,19900117,39.7,33.3,,,2.5,0.0,,,55.4,26.6,0.0
162430,99999,19900118,33.8,31.6,,,2.1,0.0,,,46.4,30.2,0.0
162430,99999,19900123,41.5,35.1,,,5.8,1.0,8.0,,53.6,33.8,0.0
162430,99999,19900124,44.6,40.5,,,6.5,0.9,6.0,,57.2,32.0,0.0
162430,99999,19900125,48.4,47.3,,,5.5,1.6,8.0,,55.4,41.0,99.99
162430,99999,19900126,53.1,52.0,,,5.9,2.2,6.0,,60.8,50.0,0.0
162430,99999,19900127,53.5,50.5,,,6.6,2.0,9.9,,60.8,46.4,0.0
162430,99999,19900128,55.7,51.8,,,7.0,11.9,21.0,,59.0,51.8,0.0
162430,99999,19900129,54.2,52.5,,,5.2,8.9,15.0,,57.2,50.0,99.99
162430,99999,19900130,50.6,48.9,,,6.7,1.7,6.0,,55.4,42.8,99.99
162430,99999,19900131,48.3,44.6,,,6.4,0.3,4.1,,60.8,37.4,0.0
162430,99999,19900201,49.0,46.7,,,6.3,2.7,13.0,,57.2,41.0,0.0
162430,99999,19900202,51.2,49.3,,,6.4,0.5,5.1,,59.0,42.8,0.0
162430,99999,19900203,49.2,45.2,,,6.6,0.3,2.9,,60.8,41.0,0.0
162430,99999,19900204,46.6,43.8,,,6.2,0.2,2.9,,59.0,37.4,0.0
162430,99999,19900205,48.2,43.9,,,5.7,0.5,5.1,,60.8,39.2,0.0
162430,99999,19900206,45.0,39.3,,,5.3,0.9,6.0,,59.0,35.6,0.0
162430,99999,19900207,43.0,38.7,,,4.2,0.1,2.9,,59.0,32.0,0.0
162430,99999,19900208,43.5,39.5,,,2.8,1.0,7.0,,59.0,33.8,0.0
162430,99999,19900209,43.8,43.1,,,1.2,0.0,,,50.0,37.4,99.99
162430,99999,19900210,43.8,26.8,,,6.2,2.9,8.9,,55.4,32.0,0.0
162430,99999,19900211,41.9,36.6,,,6.5,3.8,13.0,,50.0,32.0,99.99
162430,99999,19900212,42.9,39.7,,,5.9,5.7,35.9,48.0,53.6,35.6,99.99
162430,99999,19900213,47.3,39.4,,,6.8,6.2,13.0,,55.4,41.0,0.0
162430,99999,19900214,49.3,46.9,,,6.3,0.6,7.0,,59.0,39.2,0.0
162430,99999,19900215,50.0,47.5,,,3.9,1.3,4.1,,60.8,39.2,0.0
162430,99999,19900216,52.8,49.6,,,5.6,3.1,8.0,,62.6,46.4,0.0
162430,99999,19900217,49.6,47.2,,,4.3,0.9,7.0,,60.8,41.0,0.0
162430,99999,19900218,52.0,48.8,,,5.5,1.3,7.0,,59.0,42.8,0.0
162430,99999,19900219,52.5,48.6,,,6.4,1.0,8.0,,62.6,44.6,0.0
162430,99999,19900220,50.5,46.4,,,5.3,0.1,1.9,,62.6,41.0,0.0
162430,99999,19900221,44.8,44.1,,,4.1,0.0,,,53.6,41.0,0.0
162430,99999,19900307,48.5,41.4,,,6.2,0.8,7.0,,62.6,37.4,0.0
162430,99999,19900308,50.7,46.6,,,6.4,0.8,4.1,,60.8,41.0,0.0
162430,99999,19900309,51.1,48.9,,,5.7,3.5,9.9,,57.2,42.8,99.99
162430,99999,19900310,54.2,50.8,,,6.1,1.2,8.0,,64.4,42.8,99.99
162430,99999,19900311,52.7,51.2,,,2.3,0.8,5.1,,62.6,41.0,0.0
162430,99999,19900312,54.7,51.3,,,2.3,0.6,6.0,,60.8,50.0,0.0
162430,99999,19900313,55.0,50.6,,,2.8,0.6,6.0,,60.8,50.0,0.0
162430,99999,19900314,54.0,50.6,,,1.2,0.7,7.0,,62.6,46.4,0.0
162430,99999,19900315,56.6,53.1,,,1.8,1.0,6.0,,64.4,51.8,0.0
162430,99999,19900316,55.3,50.7,,,3.2,2.9,14.0,,64.4,50.0,99.99
162430,99999,19900317,53.6,49.1,,,6.1,0.7,6.0,,59.0,48.2,99.99
162430,99999,19900318,53.3,50.0,,,4.7,0.6,6.0,,64.4,46.4,0.0
162430,99999,19900319,55.0,49.7,,,4.8,1.4,8.0,,66.2,44.6,0.0
162430,99999,19900320,55.1,48.1,,,4.8,1.3,5.1,,66.2,46.4,0.0
162430,99999,19900321,55.0,49.2,,,4.7,0.6,4.1,,66.2,44.6,0.0
162430,99999,19900322,54.0,51.8,,,2.8,0.9,7.0,,64.4,44.6,0.0
162430,99999,19900323,55.0,51.7,,,1.7,0.7,4.1,,60.8,46.4,0.0
162430,99999,19900324,57.1,54.5,,,2.6,0.1,1.9,,62.6,53.6,0.0
162430,99999,19900325,56.8,53.4,,,3.4,2.7,8.0,,62.6,51.8,99.99
162430,99999,19900326,54.0,46.8,,,6.5,2.6,9.9,,59.0,46.4,99.99
162430,99999,19900327,48.5,45.5,,,6.4,4.5,13.0,,53.6,42.8,99.99
162430,99999,19900328,47.4,44.5,,,6.6,2.7,8.0,,53.6,42.8,99.99
162430,99999,19900329,49.1,46.5,,,6.8,2.1,8.0,,53.6,44.6,99.99
162430,99999,19900330,50.4,44.9,,,6.4,1.4,9.9,,59.0,42.8,99.99
162430,99999,19900331,52.7,44.4,,,6.0,1.4,7.0,,64.4,39.2,0.0
162430,99999,19900401,56.2,47.4,,,6.3,1.5,7.0,,66.2,44.6,0.0
162430,99999,19900402,53.6,46.9,,,4.7,5.7,15.0,,64.4,44.6,0.0
162430,99999,19900403,53.9,51.2,,,4.3,6.2,15.0,,55.4,53.6,99.99
162430,99999,19900404,53.4,51.2,,,6.4,3.2,8.0,,60.8,48.2,99.99
162430,99999,19900405,53.3,49.5,,,6.6,4.2,9.9,,60.8,48.2,99.99
162430,99999,19900406,56.9,50.0,,,7.0,5.3,13.0,,62.6,51.8,99.99
162430,99999,19900407,56.2,54.3,,,5.8,3.5,12.0,,59.0,50.0,99.99
162430,99999,19900408,54.8,47.3,,,6.8,1.3,6.0,,62.6,44.6,0.0
162430,99999,19900409,54.5,50.0,,,7.0,1.6,8.9,,60.8,50.0,99.99
162430,99999,19900410,55.0,40.4,,,7.0,11.0,15.9,,60.8,50.0,99.99
162430,99999,19900411,55.5,39.7,,,7.0,4.5,15.0,,60.8,48.2,0.0
162430,99999,19900412,49.7,44.7,,,5.8,0.9,8.9,,57.2,44.6,99.99
162430,99999,19900413,49.8,37.2,,,6.0,1.9,9.9,,60.8,39.2,0.0
162430,99999,19900414,48.1,41.3,,,6.6,1.5,8.0,,59.0,37.4,0.0
