USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
071500,99999,19900101,29.5,29.5,,,0.3,0.0,,4.1,30.7,28.2,0.0
071500,99999,19900102,34.8,34.8,1021.4,,0.2,2.8,6.0,12.0,37.4,30.0,0.01
071500,99999,19900103,33.7,33.4,,,4.1,6.9,9.9,19.0,37.4,31.5,0.0
071500,99999,19900104,33.3,32.1,,,3.1,4.0,6.0,12.0,41.0,26.6,0.0
071500,99999,19900105,37.1,36.9,1025.6,,0.6,3.9,8.0,12.0,41.0,28.0,0.0
071500,99999,19900106,41.3,40.6,1024.9,,2.1,6.3,8.0,15.9,42.8,39.2,0.0
071500,99999,19900107,41.5,39.1,,,1.9,3.0,6.0,9.9,43.9,37.4,0.01
071500,99999,19900108,44.0,41.6,,,2.1,3.7,6.0,12.0,50.0,40.5,0.0
071500,99999,19900109,45.0,42.3,,,3.6,4.4,6.0,9.9,50.4,42.3,0.0
071500,99999,19900110,42.1,38.0,,,6.8,6.5,8.0,17.1,43.0,41.0,0.0
071500,99999,19900111,39.1,35.8,,,2.8,6.8,9.9,19.0,43.2,35.1,0.0
071500,99999,19900112,33.8,32.6,,,1.1,6.3,8.0,17.1,37.4,30.9,0.0
071500,99999,19900113,40.2,39.3,1028.5,,1.3,4.8,8.0,19.0,41.5,34.3,0.16
071500,99999,19900114,41.5,39.9,,,4.0,4.8,9.9,17.1,45.0,37.4,0.05
071500,99999,19900115,45.5,43.6,1027.2,,5.0,8.7,14.0,22.9,48.7,39.9,0.01
071500,99999,19900116,50.7,48.4,,,5.9,9.5,15.9,33.0,52.5,47.1,0.0
071500,99999,19900117,47.6,43.4,,,6.0,8.3,17.1,33.0,50.5,36.9,0.02
071500,99999,19900118,37.7,34.7,,,5.2,2.6,8.0,15.9,47.3,29.5,0.0
071500,99999,19900119,38.9,33.9,1030.9,,6.0,7.7,15.9,25.1,44.6,29.1,0.0
071500,99999,19900120,45.0,42.9,,,4.0,7.7,12.0,22.9,48.2,40.5,0.06
071500,99999,19900121,46.3,41.6,,,5.7,6.6,12.0,17.1,51.8,41.0,0.14
071500,99999,19900122,44.2,41.9,,,3.4,8.2,9.9,22.9,48.2,38.8,0.0
071500,99999,19900123,47.9,43.7,,,7.2,15.2,21.0,39.0,50.0,45.0,0.12
071500,99999,19900124,44.9,41.4,,,6.6,13.7,21.0,42.9,49.1,39.2,0.4
071500,99999,19900125,52.0,44.0,1003.2,,7.4,22.7,33.0,,57.2,42.1,0.0
071500,99999,19900126,43.6,33.4,,,6.9,19.2,25.1,49.0,46.4,41.0,0.06
071500,99999,19900127,46.9,38.7,1003.8,,7.8,12.4,16.9,35.0,50.9,41.2,0.0
