USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
846580,99999,19900101,81.5,74.5,,,6.9,0.0,,,91.4,71.6,0.0
846580,99999,19900102,79.1,75.2,1012.7,,6.6,3.2,18.1,,90.9,72.7,0.0
846580,99999,19900103,78.2,72.7,1015.6,,6.7,4.0,22.0,,86.7,71.6,0.0
846580,99999,19900104,76.6,72.9,,,6.5,0.0,,,88.3,71.6,0.0
846580,99999,19900105,76.6,72.3,1015.0,,6.8,1.0,6.0,,86.0,69.8,0.0
846580,99999,19900106,78.0,73.2,1014.5,,6.7,6.1,22.0,,89.2,69.8,0.0
846580,99999,19900107,80.9,75.6,1011.9,,6.9,3.0,17.1,,90.7,54.0,0.0
846580,99999,19900108,79.4,73.7,1013.2,,6.9,2.9,22.0,,90.5,71.6,0.16
846580,99999,19900109,82.1,76.3,1013.4,,6.8,3.6,15.0,,91.4,73.0,0.0
846580,99999,19900110,80.3,74.1,1013.4,,6.7,0.4,8.0,,87.8,71.6,0.0
846580,99999,19900111,76.6,74.5,1012.5,,6.5,3.0,11.1,,89.6,73.4,0.0
846580,99999,19900112,76.1,73.4,,,4.6,3.6,18.1,,78.8,73.4,0.0
846580,99999,19900113,77.2,73.0,1015.7,,7.0,4.2,17.1,,87.8,68.0,0.63
846580,99999,19900114,76.9,74.4,,,7.0,0.0,8.9,,90.5,72.5,0.0
846580,99999,19900115,77.7,73.0,1017.5,,6.8,0.0,,,87.8,68.2,0.31
846580,99999,19900116,78.2,74.9,1012.4,,6.7,2.2,9.9,,87.8,69.8,0.31
846580,99999,19900117,79.7,75.6,1010.6,,6.7,2.9,9.9,,86.0,72.7,0.04
846580,99999,19900118,73.6,71.7,1012.9,,5.1,4.9,28.0,,87.8,69.8,0.0
846580,99999,19900119,72.7,68.4,1017.1,,6.4,2.1,18.1,,81.1,59.5,1.1
846580,99999,19900120,73.6,69.7,1016.5,,6.6,0.0,15.0,,82.4,66.2,0.0
846580,99999,19900121,76.3,73.1,1013.9,,6.8,0.4,6.0,,86.0,69.8,0.39
846580,99999,19900122,76.7,74.8,1013.2,,6.5,2.6,18.1,,88.7,71.6,0.2
846580,99999,19900123,73.5,71.9,1015.3,,5.3,2.7,36.9,,86.0,68.9,1.22
846580,99999,19900124,75.7,73.4,1013.5,,5.9,5.5,18.1,,80.6,68.9,1.69
846580,99999,19900125,74.8,71.7,1014.9,,6.4,0.5,18.1,,82.4,69.4,0.0
846580,99999,19900126,82.8,74.5,1015.5,,6.2,1.6,5.1,,91.4,69.8,0.16
846580,99999,19900127,78.5,75.5,1012.8,,6.7,2.6,18.1,,94.1,73.4,0.0
846580,99999,19900128,77.2,74.2,1014.2,,5.6,4.7,22.0,,86.9,70.7,0.28
846580,99999,19900129,81.1,74.6,1010.8,,6.9,3.6,8.9,,89.6,70.7,0.0
846580,99999,19900130,78.5,74.1,1010.2,,6.6,3.4,18.1,,89.6,73.0,0.0
846580,99999,19900131,75.9,74.2,1013.1,,6.2,1.8,17.1,,90.5,70.7,2.13
846580,99999,19900201,75.0,74.0,,,6.5,3.7,11.1,,87.8,71.6,0.71
846580,99999,19900202,76.4,73.8,1017.8,,4.8,3.1,18.1,,84.2,69.8,4.53
846580,99999,19900203,77.1,73.9,1015.0,,5.2,3.8,15.0,,84.2,71.6,0.08
846580,99999,19900204,76.7,73.1,1017.2,,6.0,0.0,,,84.2,69.6,0.24
846580,99999,19900205,77.5,74.3,,,7.0,4.1,20.0,,82.4,71.6,0.0
846580,99999,19900206,82.0,75.2,1015.0,,6.8,0.0,,,89.6,71.6,0.0
846580,99999,19900207,84.1,75.2,1016.8,,6.7,2.1,9.9,,87.8,70.3,0.0
846580,99999,19900208,82.2,75.0,1014.3,,7.0,2.7,8.9,,89.6,71.6,0.0
846580,99999,19900209,77.6,74.8,1013.4,,6.1,1.4,12.0,,89.6,73.4,0.08
846580,99999,19900210,75.7,74.2,1011.9,,5.7,1.3,22.0,,86.9,71.6,0.12
846580,99999,19900211,73.3,72.8,,,6.0,1.2,12.0,,82.4,71.6,3.54
846580,99999,19900212,77.9,73.7,1016.4,,6.1,1.7,9.9,,90.1,69.8,0.67
846580,99999,19900213,81.2,75.0,,,7.1,2.5,8.9,,92.5,70.7,0.0
846580,99999,19900214,77.3,74.3,1016.6,,6.5,2.0,18.1,,91.4,71.6,0.35
846580,99999,19900215,79.8,75.2,1014.5,,6.7,1.0,7.0,,89.6,69.8,0.39
846580,99999,19900216,79.1,75.1,,,6.9,2.5,29.9,,91.4,73.4,0.0
846580,99999,19900217,80.0,74.1,1013.6,,6.7,1.2,11.1,,89.6,73.4,0.0
846580,99999,19900218,75.5,73.2,,,6.2,0.0,,,91.8,69.8,0.87
846580,99999,19900219,75.0,72.2,1017.0,,6.7,0.0,8.9,,82.4,71.6,0.47
846580,99999,19900220,79.3,73.8,,,5.8,1.2,4.1,,87.8,68.0,0.0
846580,99999,19900221,79.4,73.3,1015.6,,6.6,2.6,13.0,,90.1,70.9,0.0
846580,99999,19900222,77.0,74.1,1015.5,,6.2,1.0,18.1,,92.3,71.6,0.0
846580,99999,19900223,81.9,75.1,1015.3,,6.4,4.4,18.1,,87.8,71.6,0.31
846580,99999,19900224,78.9,73.5,,,5.4,4.7,18.1,,87.8,71.6,0.0
846580,99999,19900225,79.8,75.9,,,6.8,3.4,15.0,,86.5,74.3,0.0
846580,99999,19900226,75.3,73.8,1016.7,,6.8,3.9,13.0,,87.8,71.6,0.28
