USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
085150,99999,19900101,56.0,49.3,1018.2,1006.0,8.0,18.0,27.0,48.0,59.4,51.8,99.99
085150,99999,19900102,53.5,44.8,1022.4,1010.2,8.2,16.7,22.9,35.0,59.0,49.3,0.12
085150,99999,19900103,57.5,49.1,1024.1,1011.9,8.2,12.1,17.1,29.9,61.9,51.4,0.04
085150,99999,19900104,59.7,53.8,1021.6,1009.5,7.7,18.1,22.0,38.1,63.0,55.4,0.0
085150,99999,19900105,56.7,51.7,1022.8,1010.6,5.7,13.0,18.1,34.0,59.9,53.6,0.39
085150,99999,19900106,52.7,40.2,1030.9,1018.5,9.8,8.0,13.0,,59.0,48.2,0.0
085150,99999,19900107,54.1,41.6,1033.1,1020.7,10.9,6.1,9.9,,57.2,46.8,0.0
085150,99999,19900108,57.1,44.1,1033.4,1021.1,9.7,7.7,12.0,,61.5,54.5,0.0
085150,99999,19900109,57.2,51.3,1031.7,1019.4,7.9,13.2,18.1,28.0,59.7,54.5,0.0
085150,99999,19900110,58.1,53.8,1028.2,1016.0,7.6,15.5,20.0,32.1,60.1,54.3,0.04
085150,99999,19900111,58.0,54.3,1022.4,1010.2,6.6,17.3,24.1,38.1,61.9,53.6,0.12
085150,99999,19900112,55.3,45.1,1027.3,1015.0,8.6,4.7,9.9,,58.3,51.8,0.01
085150,99999,19900113,55.2,46.0,1030.6,1018.2,8.8,4.7,9.9,,61.5,48.0,0.0
085150,99999,19900114,57.4,51.9,1033.9,1021.6,8.9,8.1,12.0,,60.8,50.0,0.0
085150,99999,19900115,58.3,54.5,1033.7,1021.4,7.3,10.1,14.0,,60.1,54.3,0.0
085150,99999,19900116,59.5,57.4,1031.6,1019.4,7.1,4.8,8.0,,61.9,57.6,0.04
