USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
727930,24233,19900101,43.7,40.5,1012.4,995.8,11.8,11.7,15.9,20.0,48.9,37.9,0.24
727930,24233,19900102,37.5,32.5,1016.5,999.8,16.8,6.9,14.0,,46.0,33.1,0.07
727930,24233,19900103,41.6,36.1,1022.4,1005.5,11.4,9.6,17.1,25.1,45.0,33.1,0.0
727930,24233,19900104,45.5,43.8,1019.1,1002.4,7.2,12.8,18.1,25.1,50.0,39.9,0.4
727930,24233,19900105,48.0,44.8,1020.5,1003.8,10.1,9.6,18.1,25.1,54.0,44.1,0.28
727930,24233,19900106,47.6,43.3,1015.6,999.0,13.3,10.9,21.0,26.0,54.0,43.0,0.61
727930,24233,19900107,49.6,46.0,1002.5,986.1,10.2,15.0,32.1,,53.1,43.0,0.99
727930,24233,19900108,45.8,43.5,1004.9,988.5,10.5,10.6,18.1,24.1,53.1,43.0,0.68
727930,24233,19900109,49.0,47.5,1005.4,989.0,7.7,10.3,22.9,31.1,53.1,43.0,2.66
727930,24233,19900110,41.3,37.3,1021.8,1005.0,14.2,8.8,20.0,28.0,53.1,36.0,0.34
727930,24233,19900111,40.9,32.1,1023.9,1007.0,15.5,10.7,15.9,22.0,48.9,36.0,0.08
727930,24233,19900112,45.7,36.5,1010.7,994.2,19.3,6.9,14.0,20.0,48.9,36.0,0.01
727930,24233,19900113,46.3,40.6,1004.5,988.0,14.2,5.4,8.0,,51.1,39.0,0.07
727930,24233,19900114,47.2,44.5,1012.7,996.1,10.8,6.0,8.9,,51.1,43.0,0.02
727930,24233,19900115,44.5,43.8,1019.9,1003.2,5.0,5.5,10.1,,48.0,41.0,0.05
727930,24233,19900116,43.6,41.5,1015.0,998.4,11.6,7.5,13.0,,46.9,39.9,0.05
727930,24233,19900117,42.1,37.1,1023.1,1006.3,15.3,5.7,8.9,,48.0,35.1,0.01
727930,24233,19900118,36.3,32.6,1024.2,1007.2,11.1,5.6,10.1,,48.0,26.1,0.0
