"USAF","WBAN","STATION NAME","CTRY","STATE","ICAO","LAT","LON","ELEV(M)","BEGIN","END"
"037720","99999","HEATHROW","UK","","EGLL","+51.478","-000.461","+0025.3","19481201","20210423"
"071470","99999","VELIZY","FR","","LFPV","+48.774","+002.202","+0178.0","19420101","20210423"
"071500","99999","LE BOURGET","FR","","LFPB","+48.969","+002.441","+0066.4","19280104","20210423"
"085150","99999","SANTA MARIA","PO","","LPAZ","+36.971","-025.171","+0093.9","19440807","20210423"
"107380","99999","STUTTGART","GM","","EDDS","+48.690","+009.222","+0388.9","19390902","20210423"
"162430","99999","LATINA","IT","","LIRL","+41.542","+012.909","+0028.3","19440301","20210423"
"260630","99999","PULKOVO","RS","","ULLI","+59.800","+030.263","+0024.1","19310401","20210423"
"411500","99999","BAHRAIN INTL","BA","","OBBI","+26.271","+050.634","+0001.8","19440101","20210423"
"417640","99999","HYDERABAD AIRPORT","PK","","OPKD","+25.383","+068.417","+0041.0","19450228","20210423"
"476710","99999","TOKYO INTL","JA","","RJTT","+35.552","+139.780","+0010.7","19460911","20210423"
"688160","99999","CAPE TOWN INTL","SF","","FACT","-33.965","+018.602","+0046.0","19490101","20210423"
"725030","14732","LA GUARDIA AIRPORT","US","NY","KLGA","+40.779","-073.880","+0003.4","19730101","20210423"
"727930","24233","SEATTLE-TACOMA INTERNATIONAL AIRPORT","US","WA","KSEA","+47.444","-122.314","+0112.8","19480101","20210423"
"762200","99999","TEMOSACHIC  CHIH.","MX","","","+28.950","-107.817","+1932.0","19490101","20210423"
"846580","99999","PADRE ALDAMIZ","PE","","SPTU","-12.614","-069.229","+0200.9","19471108","20210423"
"862970","99999","ENCARNACION","PA","","SGEN","-27.317","-055.833","+0091.0","19490401","20210423"
"871290","99999","SANTIAGO DEL ESTERO","AR","","SANE","-27.766","-064.310","+0199.9","19390201","20210423"
"947670","99999","SYDNEY INTL","AS","","YSSY","-33.946","+151.177","+0006.4","19430923","20210423"
"956770","99999","ADELAIDE PARAFIELD","AS","","YPPF","-34.793","+138.633","+0017.4","19390331","20210423"
"999999","14732","NEW YORK LAGUARDIA ARPT","US","NY","KLGA","+40.779","-073.880","+0009.4","19480701","19721231"
