USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
947670,99999,19900101,74.2,63.6,1015.2,1014.8,7.9,13.7,25.1,31.1,92.7,66.2,0.01
947670,99999,19900102,70.1,61.5,1015.9,1015.4,8.6,3.9,12.0,,75.2,65.3,0.0
947670,99999,19900103,78.6,64.7,1007.1,1006.6,7.7,11.8,27.0,40.0,90.1,68.0,0.0
947670,99999,19900104,67.2,53.4,1017.4,1016.9,8.9,6.9,14.0,,72.1,64.0,0.0
947670,99999,19900105,70.7,55.3,1017.5,1017.0,9.5,7.6,13.0,,75.6,68.0,0.0
947670,99999,19900106,73.2,65.8,1012.6,1012.1,7.7,7.0,18.1,33.0,80.6,68.9,0.35
947670,99999,19900107,68.8,65.0,1017.4,1016.9,7.7,13.1,21.0,34.0,74.5,65.8,0.43
947670,99999,19900108,67.7,65.1,1018.7,1018.2,5.7,7.2,14.0,,70.0,64.4,0.28
947670,99999,19900109,66.6,64.2,1021.0,1020.5,5.6,12.1,19.0,,69.4,64.2,0.55
947670,99999,19900110,67.7,62.3,1022.2,1021.7,8.4,5.5,8.0,,71.1,63.9,0.12
947670,99999,19900111,72.6,66.0,1018.2,1017.7,8.7,9.5,15.9,,79.2,68.7,0.04
947670,99999,19900112,74.2,66.9,1012.2,1011.7,9.7,6.8,18.1,,81.3,69.1,0.0
947670,99999,19900113,70.4,65.4,1011.1,1010.6,8.5,12.3,17.1,,79.2,66.2,0.12
947670,99999,19900114,66.8,60.5,1013.9,1013.4,7.4,4.4,9.9,,70.7,62.6,0.04
947670,99999,19900115,66.8,61.5,1008.3,1007.8,8.3,9.2,18.1,31.1,69.8,63.1,0.0
947670,99999,19900116,63.8,50.3,1011.2,1010.7,9.5,11.7,22.9,34.0,66.9,58.5,0.0
947670,99999,19900117,68.1,54.9,1013.8,1013.3,10.1,5.9,15.9,,73.8,61.9,0.0
947670,99999,19900118,74.7,63.6,1010.6,1010.1,8.3,5.6,15.0,,81.3,68.0,0.0
947670,99999,19900119,71.8,61.5,1009.7,1009.2,8.0,5.0,19.0,,79.2,65.8,0.0
947670,99999,19900120,75.2,64.0,1009.3,1008.9,8.5,9.7,28.0,,94.1,67.5,0.28
947670,99999,19900121,68.9,58.1,1016.6,1016.1,9.3,10.6,14.0,,73.9,65.8,0.0
947670,99999,19900122,68.7,56.3,1020.7,1020.2,11.1,6.1,9.9,,74.1,65.1,0.0
947670,99999,19900123,71.6,57.6,1020.4,1019.9,12.7,4.3,7.0,,77.0,62.8,0.0
947670,99999,19900124,71.7,60.8,1017.0,1016.5,14.8,6.6,13.0,,79.9,64.6,0.0
947670,99999,19900125,73.0,62.7,1014.8,1014.3,10.2,7.1,13.0,,79.0,69.6,0.0
947670,99999,19900126,69.4,61.0,1007.0,1006.5,9.5,7.3,17.1,,75.0,63.9,0.0
947670,99999,19900127,77.4,68.4,1002.8,1002.3,8.8,4.5,15.0,,84.2,69.8,0.0
947670,99999,19900128,73.8,61.1,1012.7,1012.2,8.6,11.8,19.0,,93.6,68.0,0.0
947670,99999,19900129,69.7,56.2,1019.2,1018.7,9.4,6.2,13.0,,73.4,68.0,0.0
