USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
762200,99999,19900102,35.2,30.5,1021.8,,9.4,1.6,5.8,,57.2,23.0,0.0
762200,99999,19900103,46.5,33.4,1017.2,,18.6,9.7,15.5,,58.1,38.5,0.0
762200,99999,19900104,38.4,30.1,1020.0,,18.6,1.9,7.8,,57.2,21.9,0.0
762200,99999,19900105,40.3,30.4,1017.8,,18.6,5.5,11.7,,55.4,21.9,0.0
762200,99999,19900108,21.7,20.1,1030.9,,18.6,0.0,,,32.0,10.4,0.0
762200,99999,19900109,34.4,26.8,1028.2,,18.6,0.0,,,63.0,15.8,0.0
762200,99999,19900110,43.0,31.3,1027.8,,18.6,1.0,3.9,,68.9,17.6,0.0
762200,99999,19900111,37.5,29.8,1027.9,,18.6,1.0,3.9,,,17.6,0.0
762200,99999,19900112,51.7,37.5,1022.2,,18.6,3.1,11.7,,70.7,29.1,0.0
762200,99999,19900113,40.1,31.4,1023.6,,18.6,1.2,3.9,,62.6,20.5,0.0
762200,99999,19900115,34.8,26.4,1021.9,,18.6,1.6,7.8,,64.4,12.2,0.0
762200,99999,19900116,43.0,31.9,1017.1,,18.6,6.7,21.4,,64.4,21.9,0.0
762200,99999,19900117,38.2,28.7,1014.9,,18.6,7.4,23.3,,59.9,18.3,0.0
762200,99999,19900118,46.6,34.4,1010.9,,18.6,9.4,19.4,,69.8,23.0,0.0
762200,99999,19900119,29.8,,1014.6,,18.6,6.3,15.5,,52.7,15.8,0.0
762200,99999,19900120,26.4,22.7,1020.1,,18.6,2.3,11.7,,47.3,6.8,0.0
762200,99999,19900121,35.2,25.2,1023.0,,18.6,2.3,11.7,,63.0,12.6,0.0
762200,99999,19900123,48.7,39.0,1016.7,,17.1,3.2,7.8,,69.8,22.1,0.04
762200,99999,19900124,45.5,42.3,1015.2,,6.3,2.3,7.8,,59.9,35.6,0.38
762200,99999,19900125,37.8,28.6,1021.7,,18.6,2.7,11.7,,63.5,18.5,0.0
762200,99999,19900126,27.4,23.8,1024.2,,18.6,1.0,3.9,,44.6,12.2,0.0
762200,99999,19900127,42.3,32.8,1019.4,,16.2,2.7,13.6,,68.9,22.6,0.0
762200,99999,19900129,32.9,23.9,1021.2,,18.6,0.5,1.9,,,12.6,0.0
762200,99999,19900130,34.6,28.6,1018.0,,18.6,0.0,,,48.2,21.2,0.0
762200,99999,19900131,48.1,32.6,1010.5,,16.8,9.3,21.4,,62.6,21.2,0.0
762200,99999,19900201,38.4,32.2,1012.9,,18.6,6.7,11.7,,57.2,30.2,0.01
762200,99999,19900202,32.6,20.4,1016.5,,18.6,8.2,17.5,,49.1,15.1,0.0
762200,99999,19900203,26.9,22.0,1024.5,,18.6,2.2,7.8,,50.0,5.4,0.0
762200,99999,19900204,30.0,19.9,1027.3,,18.6,0.0,,,54.3,9.0,0.0
762200,99999,19900205,40.4,20.4,1018.0,,18.6,4.9,15.5,,66.2,14.0,0.0
