USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
476710,99999,19900101,40.4,19.9,,,6.7,4.6,8.9,,48.2,32.0,0.0
476710,99999,19900102,42.6,26.3,,,6.7,7.1,12.0,,46.4,39.2,0.0
476710,99999,19900103,43.3,23.2,,,6.6,10.3,15.9,,48.2,39.2,0.0
476710,99999,19900104,42.3,16.8,,,6.5,13.8,20.0,28.0,48.2,33.8,0.0
476710,99999,19900105,42.3,23.4,,,6.3,6.3,12.0,,50.0,33.8,0.0
476710,99999,19900106,49.2,27.0,,,6.9,16.0,24.1,35.0,60.8,41.0,0.0
476710,99999,19900107,42.4,18.6,,,6.5,15.1,24.1,35.9,48.2,35.6,0.0
476710,99999,19900108,41.3,24.6,,,5.7,7.0,12.0,,48.2,35.6,0.0
476710,99999,19900109,43.2,32.5,,,2.1,3.1,7.0,,46.4,39.2,99.99
476710,99999,19900110,49.7,39.1,,,3.6,10.0,25.1,36.9,60.8,42.8,0.0
476710,99999,19900111,48.4,28.3,,,6.7,11.8,28.0,41.0,55.4,42.8,99.99
476710,99999,19900112,44.5,36.7,,,3.4,6.7,20.0,29.9,46.4,41.0,99.99
476710,99999,19900113,41.2,20.9,,,6.7,17.2,25.1,39.0,48.2,35.6,99.99
476710,99999,19900114,37.3,21.6,,,6.6,6.6,12.0,,41.0,30.2,0.0
476710,99999,19900115,42.3,26.3,,,5.4,7.9,12.0,,48.2,33.8,99.99
476710,99999,19900116,34.3,30.9,,,3.9,11.4,15.9,26.0,35.6,30.2,99.99
476710,99999,19900117,38.6,26.1,,,4.8,5.2,9.9,,44.6,32.0,0.0
476710,99999,19900118,47.8,36.8,,,4.7,7.2,18.1,28.9,57.2,35.6,99.99
476710,99999,19900119,42.6,39.4,,,2.7,9.5,18.1,29.9,46.4,39.2,99.99
476710,99999,19900120,38.8,18.0,,,6.8,12.3,19.0,33.0,42.8,33.8,99.99
476710,99999,19900121,37.7,25.3,,,5.9,4.9,8.0,,42.8,32.0,0.0
476710,99999,19900122,44.9,25.8,,,5.4,10.3,19.0,29.9,51.8,37.4,0.0
476710,99999,19900123,35.4,25.1,,,6.4,10.0,14.0,,39.2,30.2,99.99
476710,99999,19900124,38.1,15.2,,,6.1,9.7,17.1,28.9,48.2,32.0,0.0
476710,99999,19900125,37.7,14.7,,,6.6,10.2,15.9,26.0,44.6,32.0,0.0
476710,99999,19900126,36.0,12.9,,,6.8,10.0,17.1,,41.0,30.2,0.0
476710,99999,19900127,37.0,12.8,,,6.7,8.0,14.0,,42.8,30.2,0.0
476710,99999,19900128,39.7,16.8,,,6.3,5.4,9.9,,44.6,33.8,0.0
476710,99999,19900129,40.2,27.6,,,3.4,5.3,15.9,26.0,50.0,35.6,99.99
476710,99999,19900130,43.1,28.8,,,5.8,12.6,18.1,31.1,51.8,33.8,99.99
476710,99999,19900131,34.3,32.2,,,1.7,11.0,15.0,,35.6,33.8,99.99
476710,99999,19900201,34.1,29.9,,,3.4,11.4,17.1,,35.6,32.0,99.99
476710,99999,19900202,36.0,26.1,,,5.8,7.0,11.1,,39.2,32.0,0.0
476710,99999,19900203,39.5,33.4,,,2.5,6.8,12.0,,41.0,37.4,99.99
476710,99999,19900204,40.2,35.0,,,5.0,10.2,13.0,,42.8,37.4,99.99
476710,99999,19900205,38.4,33.3,,,4.6,8.5,12.0,,41.0,37.4,99.99
476710,99999,19900206,42.2,32.0,,,3.8,7.0,8.9,,44.6,39.2,99.99
476710,99999,19900207,43.6,34.2,,,3.6,6.0,13.0,,46.4,42.8,99.99
476710,99999,19900208,44.7,33.2,,,6.3,10.5,15.0,21.0,50.0,37.4,99.99
476710,99999,19900209,39.7,26.6,,,6.0,8.4,14.0,,44.6,35.6,99.99
476710,99999,19900210,43.9,32.8,,,3.2,5.5,31.1,45.1,60.8,39.2,99.99
476710,99999,19900211,55.3,49.6,,,4.6,14.9,40.0,58.1,64.4,50.0,99.99
476710,99999,19900212,50.2,30.9,,,6.9,11.3,17.1,27.0,57.2,42.8,0.0
476710,99999,19900213,45.9,25.0,,,6.3,10.5,19.0,,50.0,41.0,0.0
476710,99999,19900214,38.7,32.4,,,3.7,11.9,18.1,,42.8,35.6,99.99
476710,99999,19900215,41.7,38.3,,,4.4,13.8,18.1,28.9,44.6,37.4,99.99
476710,99999,19900216,42.0,37.8,,,5.1,11.1,15.9,,46.4,39.2,99.99
476710,99999,19900217,47.5,32.1,,,6.8,7.5,13.0,,53.6,41.0,0.0
476710,99999,19900218,49.2,37.9,,,5.7,7.6,11.1,,53.6,44.6,0.0
476710,99999,19900219,46.5,43.2,,,2.1,7.7,15.0,,50.0,44.6,99.99
476710,99999,19900220,54.2,50.2,,,5.6,11.8,26.0,39.0,60.8,46.4,99.99
476710,99999,19900221,54.5,37.6,,,6.4,7.0,13.0,,62.6,46.4,0.0
476710,99999,19900222,55.3,45.7,,,6.2,7.0,12.0,,62.6,51.8,99.99
476710,99999,19900223,52.4,48.5,,,1.9,5.2,11.1,,55.4,50.0,99.99
476710,99999,19900224,56.1,48.3,,,4.9,6.5,11.1,,62.6,50.0,99.99
476710,99999,19900225,50.8,47.7,,,4.1,7.5,11.1,,53.6,48.2,99.99
476710,99999,19900226,47.7,44.2,,,3.8,9.4,12.0,,51.8,44.6,99.99
476710,99999,19900227,44.7,36.3,,,6.2,10.4,14.0,,48.2,41.0,99.99
476710,99999,19900228,45.5,32.4,,,6.6,9.6,15.0,,50.0,42.8,0.0
476710,99999,19900301,46.9,40.6,,,3.5,11.5,15.0,,48.2,44.6,99.99
476710,99999,19900302,44.7,41.4,,,4.8,13.9,17.1,,48.2,42.8,99.99
476710,99999,19900303,46.7,41.2,,,4.5,11.9,15.0,,48.2,46.4,99.99
476710,99999,19900304,51.1,31.1,,,6.8,10.2,15.9,,59.0,46.4,99.99
476710,99999,19900305,47.8,34.1,,,6.5,8.7,15.0,,50.0,44.6,99.99
476710,99999,19900306,46.9,31.8,,,6.3,7.1,12.0,,50.0,41.0,0.0
476710,99999,19900307,49.3,27.1,,,6.4,17.0,26.0,42.0,60.8,39.2,99.99
476710,99999,19900308,43.9,20.5,,,6.5,14.0,25.1,35.0,50.0,37.4,0.0
476710,99999,19900309,51.3,32.8,,,6.6,8.8,12.0,,57.2,46.4,0.0
476710,99999,19900310,52.4,32.5,,,5.9,7.9,12.0,,59.0,42.8,0.0
