USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
071470,99999,19900101,28.5,,,,0.1,0.0,,,30.2,26.6,0.0
071470,99999,19900102,34.3,34.3,,,0.2,2.5,8.0,,37.4,28.6,0.0
071470,99999,19900103,32.4,31.8,,,1.2,6.9,12.0,,35.2,30.2,0.0
071470,99999,19900104,32.5,30.7,,,1.6,3.1,6.0,9.9,37.9,28.4,0.0
071470,99999,19900105,36.5,36.5,1026.5,,0.2,4.7,8.0,,39.2,31.1,0.0
071470,99999,19900106,40.6,40.4,1025.4,,0.6,7.4,9.9,,42.8,37.9,0.0
071470,99999,19900107,41.2,39.2,1028.8,,1.7,3.4,6.0,8.0,42.8,37.4,0.01
071470,99999,19900108,41.8,40.4,,,2.5,3.9,8.0,9.9,46.4,33.4,0.0
071470,99999,19900109,41.5,41.2,,,1.3,3.5,6.0,,43.7,39.2,0.0
071470,99999,19900110,39.5,37.0,1035.0,,5.2,7.0,9.9,,41.7,37.4,0.0
071470,99999,19900111,35.7,34.3,,,2.1,7.5,9.9,,39.2,32.0,0.0
071470,99999,19900112,32.5,32.5,1030.6,,0.1,6.4,9.9,,37.4,30.2,0.0
071470,99999,19900113,38.6,38.3,,,0.3,5.2,9.9,,41.0,33.3,0.01
071470,99999,19900114,41.1,39.7,,,2.9,4.8,8.0,,42.8,39.2,0.32
071470,99999,19900115,43.7,43.0,,,2.5,7.8,14.0,,46.4,40.6,0.03
071470,99999,19900116,48.5,47.0,,,4.3,7.8,12.0,,51.8,45.7,0.04
071470,99999,19900117,46.0,42.3,1026.9,,7.1,7.0,9.9,,48.4,39.2,0.0
071470,99999,19900118,37.7,33.4,1030.6,,6.5,4.5,8.0,,46.4,30.2,0.02
071470,99999,19900119,36.7,32.9,1031.8,,7.1,7.3,14.0,,41.9,31.6,0.0
071470,99999,19900120,41.6,39.6,,,5.4,9.7,14.0,21.0,46.4,37.4,0.05
